=======================================================
🕷  掌上高考 多年份录取数据爬虫（自适应版）
📅 目标年份: 2022, 2021, 2020
🔄 断点续爬模式
=======================================================

📋 从缓存加载学校列表：2955 所

=======================================================
📅 开始爬取 2022 年数据
=======================================================
📂 恢复进度(2022)：已完成 1000 所，插入 70319 条
🚀 从第 1001 所开始（共 2955 所），当前延迟 4s


[2022] [1163/2955] 朝阳师范学院       | 76476 条 | 13.7min | 剩余152min | 延迟4s  
[2022] [1164/2955] 荆州学院         | 76513 条 | 13.8min | 剩余152min | 延迟4s  
[2022] [1165/2955] 首钢工学院        | 76564 条 | 13.9min | 剩余152min | 延迟4s  
[2022] [1166/2955] 福州外语外贸学院     | 76588 条 | 14.0min | 剩余152min | 延迟4s  
[2022] [1167/2955] 陕西农林职业技术大学   | 76631 条 | 14.1min | 剩余152min | 延迟4s  
[2022] [1168/2955] 辽宁何氏医学院      | 76656 条 | 14.2min | 剩余152min | 延迟4s  
[2022] [1169/2955] 厦门华厦学院       | 76719 条 | 14.3min | 剩余152min | 延迟4s  
[2022] [1170/2955] 桂林师范学院       | 76769 条 | 14.3min | 剩余152min | 延迟4s  
[2022] [1171/2955] 重庆机电职业技术大学   | 76787 条 | 14.4min | 剩余151min | 延迟4s  
[2022] [1172/2955] 西安汽车职业大学     | 76825 条 | 14.5min | 剩余151min | 延迟4s  
[2022] [1173/2955] 扬州职业技术大学     | 76899 条 | 14.6min | 剩余151min | 延迟4s  
[2022] [1174/2955] 长沙理工大学城南学院   | 76936 条 | 14.7min | 剩余151min | 延迟4s  
[2022] [1175/2955] 中央戏剧学院       | 76992 条 | 14.8min | 剩余151min | 延迟4s  
[2022] [1176/2955] 四川美术学院       | 77005 条 | 14.8min | 剩余151min | 延迟4s  
[2022] [1177/2955] 南昌大学共青学院     | 77045 条 | 14.9min | 剩余151min | 延迟4s  
[2022] [1178/2955] 中国美术学院       | 77073 条 | 15.0min | 剩余151min | 延迟4s  
[2022] [1179/2955] 上海音乐学院       | 77102 条 | 15.1min | 剩余151min | 延迟4s  
[2022] [1180/2955] 北京工业大学耿丹学院   | 77109 条 | 15.1min | 剩余150min | 延迟4s  
[2022] [1181/2955] 海南科技职业大学     | 77154 条 | 15.2min | 剩余150min | 延迟4s  
[2022] [1182/2955] 大连工业大学艺术与信息工程学院 | 77154 条 | 15.3min | 剩余150min | 延迟4s  
[2022] [1183/2955] 福建农林大学金山学院   | 77188 条 | 15.4min | 剩余150min | 延迟4s  
[2022] [1184/2955] 中央美术学院       | 77226 条 | 15.5min | 剩余150min | 延迟4s  
[2022] [1185/2955] 长春汽车职业技术大学   | 77226 条 | 15.5min | 剩余150min | 延迟4s  
[2022] [1186/2955] 山西应用科技学院     | 77260 条 | 15.6min | 剩余149min | 延迟4s  
[2022] [1187/2955] 长沙工业学院       | 77285 条 | 15.7min | 剩余149min | 延迟4s  
[2022] [1188/2955] 辽宁传媒学院       | 77305 条 | 15.8min | 剩余149min | 延迟4s  
[2022] [1189/2955] 南昌应用技术师范学院   | 77360 条 | 15.9min | 剩余149min | 延迟4s  
[2022] [1190/2955] 福州理工学院       | 77388 条 | 15.9min | 剩余149min | 延迟4s  
[2022] [1191/2955] 东莞城市学院       | 77403 条 | 16.0min | 剩余149min | 延迟4s  
[2022] [1192/2955] 黑龙江工商学院      | 77445 条 | 16.1min | 剩余149min | 延迟4s  
[2022] [1193/2955] 陕西国际商贸学院     | 77477 条 | 16.2min | 剩余148min | 延迟4s  
[2022] [1194/2955] 贵阳康养职业大学     | 77551 条 | 16.3min | 剩余149min | 延迟4s  
[2022] [1195/2955] 内蒙古鸿德文理学院    | 77612 条 | 16.4min | 剩余149min | 延迟4s  
[2022] [1196/2955] 锦州医科大学医疗学院   | 77631 条 | 16.4min | 剩余148min | 延迟4s  
[2022] [1197/2955] 中国人民解放军空军工程大学 | 77661 条 | 16.5min | 剩余148min | 延迟4s  
[2022] [1198/2955] 山东艺术学院       | 77704 条 | 16.6min | 剩余148min | 延迟4s  
[2022] [1199/2955] 湖北美术学院       | 77705 条 | 16.7min | 剩余148min | 延迟4s  
[2022] [1200/2955] 浙江工商大学杭州商学院  | 77707 条 | 16.7min | 剩余148min | 延迟4s  
[2022] [1201/2955] 辽宁师范大学海华学院   | 77741 条 | 16.8min | 剩余148min | 延迟4s  
[2022] [1202/2955] 安徽外国语学院      | 77781 条 | 16.9min | 剩余148min | 延迟4s  
[2022] [1203/2955] 华北理工大学轻工学院   | 77797 条 | 17.0min | 剩余147min | 延迟4s  
[2022] [1204/2955] 马鞍山学院        | 77868 条 | 17.1min | 剩余147min | 延迟4s  
[2022] [1205/2955] 华北理工大学冀唐学院   | 77884 条 | 17.1min | 剩余147min | 延迟4s  
[2022] [1206/2955] 空军预警学院       | 77923 条 | 17.2min | 剩余147min | 延迟4s  
[2022] [1207/2955] 兰州工商学院       | 77940 条 | 17.3min | 剩余147min | 延迟4s  
[2022] [1208/2955] 成都银杏酒店管理学院   | 77970 条 | 17.4min | 剩余147min | 延迟4s  
[2022] [1209/2955] 沈阳音乐学院       | 78053 条 | 17.5min | 剩余147min | 延迟4s  
[2022] [1210/2955] 哈尔滨剑桥学院      | 78063 条 | 17.6min | 剩余147min | 延迟4s  
[2022] [1211/2955] 哈尔滨石油学院      | 78092 条 | 17.6min | 剩余147min | 延迟4s  
[2022] [1212/2955] 西安理工大学高科学院   | 78131 条 | 17.7min | 剩余146min | 延迟4s  
[2022] [1213/2955] 北京第二外国语学院中瑞酒店管理学院 | 78146 条 | 17.8min | 剩余146min | 延迟4s  
[2022] [1214/2955] 武警海警学院       | 78180 条 | 17.9min | 剩余146min | 延迟4s  
[2022] [1215/2955] 连云港师范学院      | 78227 条 | 18.0min | 剩余146min | 延迟4s  
[2022] [1216/2955] 江西服装学院       | 78270 条 | 18.0min | 剩余146min | 延迟4s  
[2022] [1217/2955] 四川电影电视学院     | 78337 条 | 18.1min | 剩余146min | 延迟4s  
[2022] [1218/2955] 南宁职业技术大学     | 78362 条 | 18.2min | 剩余146min | 延迟4s  
[2022] [1219/2955] 闽南科技学院       | 78372 条 | 18.3min | 剩余146min | 延迟4s  
[2022] [1220/2955] 香港大学         | 78408 条 | 18.4min | 剩余146min | 延迟4s  
[2022] [1221/2955] 湖南汽车工程职业大学   | 78408 条 | 18.4min | 剩余145min | 延迟4s  
[2022] [1222/2955] 广西艺术学院       | 78441 条 | 18.5min | 剩余145min | 延迟4s  
[2022] [1223/2955] 长���大学旅游学院   | 78463 条 | 18.6min | 剩余145min | 延迟4s  
[2022] [1224/2955] 南京审计大学金审学院   | 78515 条 | 18.7min | 剩余145min | 延迟4s  
[2022] [1225/2955] 肇庆医学院        | 78571 条 | 18.8min | 剩余145min | 延迟4s  
[2022] [1226/2955] 山东外事职业大学     | 78585 条 | 18.9min | 剩余145min | 延迟4s  
[2022] [1227/2955] 铜仁职业技术大学     | 78605 条 | 18.9min | 剩余145min | 延迟4s  
[2022] [1228/2955] 新疆农业职业技术大学   | 78646 条 | 19.0min | 剩余145min | 延迟4s  
[2022] [1229/2955] 贵州医科大学神奇民族医药学院 | 78658 条 | 19.1min | 剩余145min | 延迟4s  
[2022] [1230/2955] 南京医科大学康达学院   | 78675 条 | 19.2min | 剩余144min | 延迟4s  
[2022] [1231/2955] 山东外国语职业技术大学  | 78710 条 | 19.2min | 剩余144min | 延迟4s  
[2022] [1232/2955] 湖北工程学院新技术学院  | 78746 条 | 19.3min | 剩余144min | 延迟4s  
[2022] [1233/2955] 吉林动画学院       | 78787 条 | 19.4min | 剩余144min | 延迟4s  
[2022] [1234/2955] 湖北文理学院理工学院   | 78808 条 | 19.5min | 剩余144min | 延迟4s  
[2022] [1235/2955] 杭州师范大学钱江学院   | 78856 条 | 19.6min | 剩余144min | 延迟4s  
[2022] [1236/2955] 安徽文达信息工程学院   | 78856 条 | 19.7min | 剩余144min | 延迟4s  
[2022] [1237/2955] 新疆艺术学院       | 78867 条 | 19.7min | 剩余144min | 延迟4s  
[2022] [1238/2955] 芜湖学院         | 78884 条 | 19.8min | 剩余143min | 延迟4s  
[2022] [1239/2955] 贵州轻工职业大学     | 78890 条 | 19.9min | 剩余143min | 延迟4s  
[2022] [1240/2955] 中国人民大学（苏州校区） | 78909 条 | 19.9min | 剩余143min | 延迟4s  
[2022] [1241/2955] 中央音乐学院       | 78952 条 | 20.0min | 剩余143min | 延迟4s  
[2022] [1242/2955] 贵阳人文科技学院     | 78996 条 | 20.1min | 剩余143min | 延迟4s  
[2022] [1243/2955] 陕西工业职业技术大学   | 79014 条 | 20.2min | 剩余143min | 延迟4s  
[2022] [1244/2955] 重庆中医药学院      | 79032 条 | 20.2min | 剩余143min | 延迟4s  
[2022] [1245/2955] 兰州石化职业技术大学   | 79032 条 | 20.3min | 剩余142min | 延迟4s  
[2022] [1246/2955] 温州医科大学仁济学院   | 79118 条 | 20.4min | 剩余143min | 延迟4s  
[2022] [1247/2955] 吉林艺术学院       | 79133 条 | 20.5min | 剩余142min | 延迟4s  
[2022] [1248/2955] 合肥经济学院       | 79133 条 | 20.6min | 剩余142min | 延迟4s  
[2022] [1249/2955] 呼和浩特职业技术大学   | 79135 条 | 20.6min | 剩余142min | 延迟4s  
